Publish Date,Title,Content Type,Primary Keyword,Target URL,Status,Owner,Notes
2026-08-24,PDP refresh: DSIP (ES transactional cluster),PDP,precio y comprar dsip,/producto/dsip,Copy live,Content,Semrush gap P0; brief 09; productSeoCopy
2026-08-26,PDP refresh: Hexarelin Acetate,PDP,comprar original hexarelin,/producto/hexarelin-acetate,Copy live,Content,Semrush gap P0; brief 10; productSeoCopy
2026-08-28,PDP refresh: Sermorelin Acetate,PDP,comprar original acetato de sermorelina,/producto/sermorelin-acetate,Copy live,Content,Semrush gap P0; brief 11; productSeoCopy
2026-08-30,PDP refresh: PEG-MGF,PDP,comprar original peg-mgf,/producto/peg-mgf,Copy live,Content,Semrush gap P0; brief 12; productSeoCopy
2026-09-01,PDP refresh: HGH Fragment 176-191,PDP,precio y comprar frag 176-191,/producto/hgh-fragment-176-191,Copy live,Content,Semrush gap P0; brief 13; productSeoCopy
2026-08-25,Cómo reconstituir péptidos liofilizados en el laboratorio,Blog,reconstitución de péptidos liofilizados,/blog/reconstitucion-peptidos-laboratorio,Briefed,Content,RUO; links to calculator
2026-08-28,Cómo leer un certificado de análisis (COA) de péptidos,Blog,cómo leer un COA de péptido,/blog/como-leer-coa-peptidos,Briefed,Content,Link COA library
2026-09-01,Cadena de frío: buenas prácticas de envío de péptidos en la UE,Blog,cadena de frío péptidos envío UE,/blog/cadena-frio-peptidos-ue,Briefed,Content,Link /envio
2026-09-04,Uso exclusivo para investigación: cumplimiento y límites del catálogo,Blog,péptidos solo para investigación,/blog/uso-exclusivo-investigacion-cumplimiento,Briefed,Content,Link terms + FAQ
2026-09-08,Agua bacteriostática vs agua estéril en reconstitución,Blog,agua bacteriostática reconstitución péptidos,/blog/agua-bacteriostatica-vs-esteril,Briefed,Content,Lab protocol tone
2026-09-11,Almacenamiento de péptidos liofilizados: temperatura y luz,Blog,almacenamiento péptidos liofilizados,/blog/almacenamiento-peptidos-liofilizados,Briefed,Content,Avoid clinical dosing
2026-09-15,Checklist de recepción de pedidos de péptidos en el lab,Blog,envío péptidos España,/blog/checklist-recepcion-peptidos,Briefed,Content,Ops + QA
2026-09-18,HPLC y pureza: qué significan los % en un COA,Blog,pureza HPLC péptidos,/blog/hplc-pureza-coa-peptidos,Briefed,Content,Educational
2026-09-22,Guía rápida: de la ficha técnica al cuaderno de laboratorio,Blog,guía de péptidos de investigación,/blog/ficha-tecnica-cuaderno-laboratorio,Planned,Content,Internal link guide
2026-09-25,Errores frecuentes al medir volúmenes de reconstitución,Blog,calculadora de péptidos,/blog/errores-volumen-reconstitucion,Planned,Content,CTA calculator
2026-09-29,Comparativa: COA publicado vs proveedor sin documentación,Blog,COA vs sin COA péptidos,/blog/coa-publicado-vs-sin-documentacion,Planned,Content,Link comparison page
2026-10-02,Trazabilidad de lote: por qué el número de lote importa,Blog,certificado de análisis COA péptidos,/blog/trazabilidad-lote-peptidos,Planned,Content,
2026-10-06,Péptidos de investigación en España: criterios de compra para labs,Blog,péptidos de investigación España,/blog/criterios-compra-labs-espana,Planned,Content,Local angle Madrid/EU
2026-10-09,Embalaje térmico: qué esperar al abrir el paquete,Blog,cadena de frío péptidos envío UE,/blog/embalaje-termico-recepcion,Planned,Content,
2026-10-13,Glosario ampliado: liofilización HPLC y pureza,Update,glosario de péptidos,/glosario-peptidos,Planned,Content,Expand existing page
2026-10-16,Preguntas frecuentes ampliadas sobre uso solo investigación,Update,faq péptidos investigación,/preguntas-frecuentes,Planned,Content,FAQPage schema
2026-10-20,Protocolo de etiquetado interno tras reconstitución,Blog,reconstitución de péptidos liofilizados,/blog/etiquetado-post-reconstitucion,Planned,Content,
2026-10-23,Cómo archivar COA junto al registro de ensayo,Blog,biblioteca COA péptidos,/blog/archivar-coa-ensayo,Planned,Content,
2026-10-27,Envío express vs estándar para compuestos termosensibles,Blog,envío péptidos España,/blog/express-vs-estandar-termosensibles,Planned,Content,
2026-10-30,Señalización de receptor en modelos in vitro: marco general,Blog,investigación peptídica Europa,/blog/senalizacion-receptor-in-vitro,Planned,Content,Cite public literature only
2026-11-03,Actualización página guía de péptidos (sección reconstitución),Update,guía de péptidos de investigación,/guia-de-peptidos,Planned,Content,Pillar refresh
2026-11-06,Calculadora: texto de ayuda y ejemplos de concentración,Update,calculadora de péptidos,/calculadora-de-peptidos,Planned,Content,
2026-11-10,Proveedor UE vs importación extra-UE: logística para labs,Blog,proveedor péptidos UE,/blog/proveedor-ue-vs-importacion,Planned,Content,No customs legal advice beyond high-level
2026-11-13,Qué pedir al soporte antes de un pedido institucional,Blog,péptidos laboratorio España,/blog/pedido-institucional-checklist,Planned,Content,
2026-11-17,Estabilidad tras reconstitución: rangos orientativos de lab,Blog,almacenamiento péptidos liofilizados,/blog/estabilidad-post-reconstitucion,Planned,Content,General not product-specific medical
2026-11-20,Resumen del mes: novedades COA y envíos,Blog,péptidos de investigación Madrid,/blog/novedades-coa-envios-noviembre,Planned,Content,Light local NAP mention
