Domain,DR,Linking to Competitors,Opportunity Type,Notes,Priority
universidad.es lab blogs,unspecified (est. High authority),Often link reagent explainers,Resource / educational cite,Pitch RUO reconstitution + COA explainers; no medical claims,High
sebbm.es (or peer ES biochemistry societies),unspecified,Occasionally supplier directories,Association listing,Request non-commercial resource listing,High
biotech Spain cluster sites,unspecified,Sponsor/member pages,Directory,Accurate NAP citation only,High
ResearchGate project pages,unspecified,Methods cite vendors,Organic mention,Researchers may cite supplier; provide citeable COA URLs,Medium
Spanish university core facilities pages,unspecified,Preferred vendor lists,B2B mention,Institutional outreach — compliance first,High
EU life-science startup directories,unspecified,Yes (est.),Directory,EUR/Madrid positioning,Medium
Lab protocol aggregators (ES/EN),unspecified,Yes,Guest resource,Offer Spanish protocol summaries with RUO,High
Cold-chain / logistics blogs,unspecified,Rare,Expert quote,Pitch UE peptide shipping practices article,Medium
HPLC / analytical chemistry blogs,unspecified,Yes,Guest post,COA literacy angle,High
Open-source lab notebook communities,unspecified,Sometimes,Community resource,Share calculator + glossary,Medium
Madrid science park / coworking directories,unspecified,Local,Local citation,NAP consistency Calle de la Innovación 12,Medium
EU chemical supplier roundup articles,unspecified,Yes,Replacement / inclusion,Ask for inclusion as ES research peptide supplier,Medium
Podcast / newsletter bioES,unspecified,Sponsored mentions,Mention,Disclose; educational tone,Low
Competitor broken outbound pages,unspecified,N/A,Broken-link building,Find 404 resource links on peer sites,Medium
Wikipedia / Wikidata (only if notable),unspecified,Rare,Reference,Do not spam; only if independent notability exists,Low
